"category","genome","attach_scaffold","attach_scaffold_0","attach_scaffold_0t","free_scaffold","SLH_cCBM","SLH_CBM","cGH_cCBM","cGH_otherCBM","cGH_CBM","GH_CBM","exo_cCBM","LPMO_CBM","solitude_LPMO","solitude_cGH","oligosaccharidase","SLH_cohesin","exo_dok","endo_dok","xylanase_GH_dok","oligosaccharidase_dok","LPMO_dok","otherGH_dok","sle_GH","SLH","dockerin","cohesin","sum_exo","sum_endo","sum_LPMO","sum_xylanase_GH","sum_cCBM","sum_other_GH","sum_other_CBM","GH9","GH48","GH5_1","GH5_2","GH5_4","GH5_7","GH5_17","GH5_25","GH5_34","GH5_37","GH5_55","GH5","GH8","GH44","GH51","GH124","CBM2","CBM3","CBM4","CBM6","CBM9","CBM11","CBM16","CBM17","CBM28","CBM30","CBM37","CBM44","CBM46","CBM49","CBM63","GH10","GH11","GH16","GH26","GH28","GH53","GH74","GH113","GH1","GH2","GH3","GH30","GH30_5","GH30_8","GH35","GH39","GH42","GH43_1","GH43_4","GH43_10","GH43_11","GH43_12","GH43_16","GH43_20","GH43_22","GH43_24","GH43_26","GH43_29","GH43_34","GH43_35","GH59","GH94","GH120","GH105","GH109","GH114","GH115","GH126","GH127","GH13_11","GH13_14","GH13_20","GH13_28","GH13_8","GH13_9","GH13","GH130","GH133","GH141","GH144","GH146","GH15","GH154","GH164","GH18","GH23","GH24","GH25","GH27","GH31","GH32","GH36","GH4","GH57","GH62","GH65","GH67","GH68","GH73","GH76","GH77","GH81","GH88","GH95","GH98","CBM13","CBM18","CBM20","CBM21","CBM22","CBM23","CBM25","CBM26","CBM27","CBM31","CBM32","CBM34","CBM35","CBM36","CBM38","CBM40","CBM42","CBM47","CBM48","CBM50","CBM51","CBM54","CBM56","CBM59","CBM61","CBM62","CBM65","CBM66","CBM67","CBM77","AA3","AA4","AA6","CE1","CE10","CE12","CE14","CE15","CE2","CE3","CE4","CE6","CE7","CE8","CE9","GT1","GT19","GT2_Cellulose_synt","GT2_Glyco_tranf_2_2","GT2_Glyco_tranf_2_3","GT2_Glyco_trans_2_3","GT2_Glycos_transf_2","GT23","GT26","GT27","GT28","GT32","GT35","GT39","GT4","GT44","GT45","GT5","GT51","GT76","GT8","GT81","GT83","GT84","GT9","GT97","PL1_2","PL1_5","PL1_6","PL1","PL10_1","PL11_2","PL11","PL29","PL33_2","PL9_1","PL9_2","PL9"
"Group II-e","NC_001988",0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Group II-e","NC_015686",0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Group II-e","NC_017296",0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
